"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","PROD_ID","VALUE","VALUE_PART",
"1","","ATTINY1634QFN","QFN20","U3","ATtiny1634 8 bit AVR Microcontroller","ATTINY1634-MURCT-ND","","Atmel","ATTINY1634-MUR","","","",
"3","0.1uF","C-EU0.1UFC0402","C0402","C3, C4, C5","CAPACITOR, European symbol","490-4759-1-ND","","Murata","GCM155R71C104KA55D","","","",
"3","10k","R-EU_10KR0402","R0402","R1, R2, R3","RESISTOR, European symbol","311-10.0KHRCT-ND","","Yageo","RC0603FR-0710KL","","","10k",
"1","2.2uH","INDUCTOR0805","0805","L1","Genaric inductor","732-2953-1-ND","","Wurth","74479775222","","","",
"1","2N7002","MOSFET-NCH-2N7002PW","SOT323","Q1","N-channel MOSFETs","2N7002W-FDICT-ND","","Diodes Incorporated","2N7002W-7-F","TRANS-11151","2N7002","",
"2","4.7uF","C-EUC0402","C0402","C1, C2","CAPACITOR, European symbol","490-14306-1-ND","","Murata","GRM155R61A475MEAAD","","","",
"1","AVRISP1.27MM","AVRISP1.27MM","2X3_1.27","ISP1","AVR ISP HEADER","","","","","","","",
"1","LPS35HW","LPS35HW","CCLGA10L","U2","LPS3xHW - Digital Water Resistant Pressure Sensor","497-16706-1-ND","LPS35HW","ST","LPS35HWTR","","","",
"1","SHT35DFN","SHT35DFN","DFN_8_2.5X2.5","U1","SHT3x - Digital Humidity and Temperature Sensor","1649-1067-1-ND","SHT35","Sensirion","SHT35-DIS-F2.5KS","","","",
"1","SOLDERCUP_CONN_QUAD","SOLDERCUP_CONN_QUAD","SOLDERCUP_CONN_QUAD","J1","","","","","","","","",
"1","TPS62237DRY","TPS62237DRY","DRY0006A","U4","TPS6223xx - Ultra Small Step Down Converter (Buck)","296-39454-1-ND","TPS62237","TI","TPS62237DRYR","","","",
"1","TXS0102DQM","TXS0102DQM","DQM_R-PX2SON-N8","U5","TXS0102 - 2 Channel Bidirectional Voltage Level Translator","296-28435-1-ND","","TI","TXS0102DQMR","","","",
